Student ID,Incident Description,Incident Place,Action,Date
71551375335,Incident that happened,Halls,1 DETENTION ASSIGNED,1/15/2019
71551375335,Incident that happened,Classroom,,
71551375335,Incident that happened,Classroom,,
71551375335,Incident that happened,Classroom,,
71551375335,Incident that happened,Classroom,,
71551375335,Incident that happened,Classroom,,
71551375335,Incident that happened,Classroom,,
71551375335,Incident that happened,Cafeteria,1 DAY ISS,2/20/2019
71551375335,Incident that happened,Classroom,1 DAY ISS,2/22/2019
71551375335,Incident that happened,Halls,2 DETENTIONS ASSIGNED,3/20/2019
71551375335,Incident that happened,Classroom,,
71551375335,Incident that happened,Classroom,,
71551375335,Incident that happened,Halls,1 DAY ISS,4/15/2019
71551375335,Incident that happened,Classroom,3 DAYS ISS,4/26/2019
71551375335,Incident that happened,Grounds,3 DAYS OSS,5/2/2019
75771771979,Incident that happened,School Bus,OFF OF BUS 1 DAY,9/17/2018
71573917333,Incident that happened,School Bus,PARENT CONTACT / CONFERENCE,10/11/2018
71915777159,Incident that happened,Halls,3 DAYS ISS,11/30/2018
71915777159,Incident that happened,Classroom,,
73737395177,Incident that happened,Classroom,1 DETENTION ASSIGNED,11/16/2018
77133597199,Incident that happened,Classroom,1 DAY ISS,9/7/2018
77133597199,Incident that happened,Classroom,1 DAY ISS,10/4/2018
77133597199,Incident that happened,Classroom,1 DAY ISS,11/12/2018
77133597199,Incident that happened,Classroom,1 DAY ISS,11/14/2018
77133597199,Incident that happened,Classroom,1 DAY ISS,11/16/2018
77133597199,Incident that happened,Classroom,,
77133597199,Incident that happened,Classroom,1 DAY ISS,3/19/2019
77133597199,Incident that happened,Classroom,1 DAY ISS,4/4/2019
77133597199,Incident that happened,Cafeteria,,
77133597199,Incident that happened,Classroom,1 DAY ISS,4/25/2019
75133357979,Incident that happened,Classroom,1 DETENTION ASSIGNED,9/25/2018
75133357979,Incident that happened,Classroom,1 DETENTION ASSIGNED,2/28/2019
75133357979,Incident that happened,School Bus,1 DAY ISS,5/20/2019
73199157739,Incident that happened,Halls,PRINCIPAL/STUDENT CONFERENCE,12/17/2018
73199157739,Incident that happened,Classroom,PRINCIPAL/STUDENT CONFERENCE,12/19/2018
73199157739,Incident that happened,Classroom,1/2 DAY ISS,5/21/2019
79359391397,Incident that happened,Other,1 DETENTION ASSIGNED,10/24/2018
77577319733,Incident that happened,Classroom,WARNING,10/10/2018
77577319733,Incident that happened,Classroom,,
79913135591,Incident that happened,Classroom,WARNING,8/29/2018
73997577773,Incident that happened,Classroom,,
73997577773,Incident that happened,Classroom,,
73997577773,Incident that happened,Classroom,PARENT CONTACT / CONFERENCE,9/6/2018
73997577773,Incident that happened,Playground,,
79331117739,Incident that happened,Classroom,PRINCIPAL/STUDENT CONFERENCE,9/19/2018
79313151137,Incident that happened,Classroom,PARENT CONTACT / CONFERENCE,9/18/2018
79313151137,Incident that happened,Classroom,,
